Measure Mode: wall_time
Thread ID: 47046120247500
Fiber ID: 47046130648440
Total: 93.356253
Sort by: self_time

 %self      total      self      wait     child     calls  name
 16.18     15.109    15.108     0.001     0.000    10696   PG::Connection#async_exec_without_profiling
  3.42      3.192     3.192     0.000     0.000   909190   BasicObject#!
  1.93     17.336     1.801     0.000    15.535   405430  *Class#new
  1.92      1.790     1.790     0.000     0.000   384473   Kernel#class
  1.79      1.675     1.675     0.000     0.000   987127   Thread::Backtrace::Location#absolute_path
  1.78      2.069     1.657     0.000     0.412   469455  *Hash#fetch
  1.71      1.601     1.601     0.000     0.000   473148   <Class::Thread>#current
  1.48      1.517     1.381     0.000     0.137   246485   Hash#[]=
  1.31      1.225     1.225     0.000     0.000   328522   String#to_s
  1.20      1.117     1.117     0.000     0.000     2727   PG::Connection#exec_prepared_without_profiling
  1.05      0.976     0.976     0.000     0.000   224161   Kernel#hash
  1.01      1.448     0.944     0.000     0.504  1877352   Hash#[]
  0.87      0.810     0.810     0.000     0.000   134765   String#freeze
  0.87      0.808     0.808     0.000     0.000    13563   Kernel#caller_locations
  0.83      0.771     0.771     0.000     0.000   143068   Symbol#to_s
  0.77      0.719     0.719     0.000     0.000   185052   Class#superclass
  0.72      0.950     0.672     0.000     0.278    33174   Time#strftime
  0.65      1.999     0.610     0.000     1.389   391801   ActiveRecord::QueryMethods#get_value
  0.65      0.607     0.607     0.000     0.000    80459   <Class::ActiveRecord::Base>#logger
  0.65      0.641     0.602     0.000     0.039    56850   Time#initialize
  0.64      2.786     0.595     0.000     2.191    77771  *Array#map
  0.63      1.317     0.592     0.000     0.725    98509  *Kernel#dup
  0.62      1.045     0.576     0.000     0.469   493142   ActiveRecord::LogSubscriber#ignored_callstack
  0.58      0.967     0.543     0.000     0.424   105603  *Kernel#initialize_dup
  0.49      1.102     0.461     0.000     0.641    56850   <Class::Time>#now
  0.49      1.179     0.459     0.000     0.720   132410   ActiveSupport::PerThreadRegistry#instance
  0.48      0.452     0.452     0.000     0.000   567167   String#start_with?
  0.48      0.584     0.448     0.000     0.136    93744   Hash#delete
  0.48      1.088     0.447     0.000     0.641    54614   MonitorMixin#mon_enter
  0.45      0.417     0.417     0.000     0.000   494324   Kernel#is_a?
  0.44      0.411     0.411     0.000     0.000    26803   IO#write
  0.42      5.507     0.393     0.000     5.115    40258  *Hash#each
  0.38      0.356     0.356     0.000     0.000    89636   Fixnum#divmod
  0.36      0.338     0.338     0.000     0.000    59396   Fixnum#to_s
  0.36      0.818     0.332     0.000     0.487    71978   ActiveSupport::NumericWithFormat#to_s
  0.35      0.323     0.323     0.000     0.000    45412   Array#first
  0.34      0.320     0.320     0.000     0.000     2055   <Class::RubyVM::InstructionSequence>#load_from_binary
  0.34      0.318     0.318     0.000     0.000    69697   BasicObject#initialize
  0.33      0.533     0.309     0.000     0.224    94240   MonitorMixin#mon_check_owner
  0.32      0.709     0.300     0.000     0.409    43412   Hash#each_key
  0.31      0.293     0.293     0.000     0.000   111350   Symbol#to_sym
  0.31     15.713     0.285     0.000    15.428    13423   ActiveRecord::LogSubscriber#sql
  0.29      0.924     0.270     0.000     0.654    80791   MonitorMixin#mon_exit
  0.29      4.616     0.266     0.000     4.350    26815   Logger#add
  0.27      0.255     0.255     0.000     0.000    64791   Hash#initialize_copy
  0.27      0.254     0.254     0.000     0.000    53742   Thread::Mutex#lock
  0.27      0.250     0.250     0.000     0.000   186145   Kernel#nil?
  0.26      0.243     0.243     0.000     0.000    33712   Module#name
  0.26      0.240     0.240     0.000     0.000   329997   NilClass#nil?
  0.25      0.233     0.233     0.000     0.000    46370   NilClass#to_s
  0.25      0.230     0.230     0.000     0.000    40667   Hash#initialize
  0.24      5.252     0.227     0.000     5.024    24360  *Enumerable#find
  0.24      0.531     0.223     0.000     0.309   223421   Kernel#respond_to?
  0.24      0.421     0.222     0.000     0.199    44927   Array#reject
  0.23      1.502     0.217     0.000     1.285   146621   ActiveModel::Attribute#value
  0.23      0.212     0.212     0.000     0.000   556468   Module#===
  0.22      0.207     0.207     0.000     0.000    44589   ActiveRecord::Relation::WhereClause#initialize
  0.22      0.205     0.205     0.000     0.000    15095   String#split
  0.22      0.204     0.204     0.000     0.000    63353   Thread::Mutex#unlock
  0.22      0.986     0.204     0.000     0.782    18484   ActiveRecord::Scoping::ScopeRegistry#value_for
  0.21      0.198     0.193     0.000     0.005    14644   String#sub
  0.21      0.193     0.193     0.000     0.000    45556   Array#last
  0.20      9.487     0.190     0.000     9.297    13396   ActiveRecord::LogSubscriber#log_query_source
  0.20      0.190     0.190     0.000     0.000    67878   Array#unshift
  0.20      0.188     0.188     0.000     0.000    36888   Integer#to_i
  0.20      3.319     0.188     0.000     3.131    26868  *Enumerable#each_with_index
  0.20      0.416     0.184     0.000     0.233   262875   ActiveModel::AttributeSet#[]
  0.20      0.183     0.183     0.000     0.000    36220   Struct#initialize
  0.19      0.991     0.182     0.000     0.809    76939  *ActiveRecord::ConnectionHandling#connection_specification_name
  0.19      1.051     0.177     0.000     0.874    44822  *Concurrent::Map#fetch
  0.19      2.676     0.175     0.000     2.501    13401  *Kernel#catch
  0.18      0.173     0.173     0.000     0.000   152649   Thread#[]
  0.18      0.173     0.172     0.000     0.000    30975   Regexp#match
  0.18      0.216     0.172     0.000     0.045   104415   Regexp#===
  0.18      0.665     0.172     0.000     0.493    36507  *Array#hash
  0.18      0.171     0.171     0.000     0.000   139578   Hash#key?
  0.18      0.376     0.171     0.000     0.205    14674   Array#select
  0.18      0.170     0.170     0.000     0.000    77602   ActiveModel::Attribute#initialize
  0.18      0.776     0.169     0.000     0.607    80457   ActiveRecord::LogSubscriber#logger
  0.18      0.165     0.165     0.000     0.000    15320   Kernel#freeze
  0.18      0.164     0.164     0.000     0.000    40165   String#initialize_copy
  0.17      0.296     0.163     0.000     0.134    30092   String#%
  0.17      0.160     0.160     0.000     0.000    23005   <Class::ActiveRecord::Base>#default_timezone
  0.17      0.159     0.159     0.000     0.000    13511   Thread::Backtrace::Location#path
  0.17     23.685     0.157     0.000    23.528    25978  *ActiveSupport::Callbacks#run_callbacks
  0.17      0.189     0.155     0.000     0.033     4150   Module#module_eval
  0.16      1.639     0.151     0.000     1.488    26792   Logger::Formatter#call
  0.16      0.351     0.150     0.000     0.200    13669   Array#flatten
  0.16      0.415     0.150     0.000     0.265    53243  *Kernel#public_send
  0.16      0.150     0.150     0.000     0.000    41059   String#hash
  0.16      0.582     0.149     0.000     0.434    71995   ActiveRecord::Reflection::ClassMethods#_reflect_on_association
  0.16      0.927     0.147     0.000     0.780    73968   ActiveModel::Type::Value#cast
  0.15      0.142     0.142     0.000     0.000    30426   <Module::Process>#pid
  0.15      0.140     0.140     0.000     0.000    16981   Array#push
  0.15      1.745     0.136     0.000     1.609    16726   ActiveRecord::Relation::Merger#merge_clauses
  0.14      1.014     0.135     0.000     0.878    86073   ActiveModel::AttributeSet#fetch_value
  0.14      0.134     0.134     0.000     0.000    13511   Thread::Backtrace::Location#lineno
  0.14      1.862     0.134     0.000     1.728    26803   Logger::LogDevice#write
  0.14      0.826     0.134     0.000     0.692    44847   Concurrent::Collection::NonConcurrentMapBackend#get_or_default
  0.14      0.326     0.131     0.000     0.195    19544  *Hash#each_pair
  0.14      0.157     0.131     0.000     0.026    26803   Logger#format_severity
  0.14      1.622     0.127     0.000     1.495    62488   ActiveModel::AttributeMutationTracker#changed?
  0.13      0.149     0.126     0.000     0.023    66769   Array#include?
  0.13     18.962     0.125     0.000    18.837    13423   ActiveSupport::Concurrency::ShareLock#yield_shares
  0.13     18.033     0.125     0.000    17.908    16939   ActiveSupport::Notifications::Fanout#finish
  0.13      0.123     0.123     0.000     0.000    24564   ActiveRecord::Relation#initialize
  0.13      0.417     0.121     0.000     0.297    90091   Concurrent::Map#[]
  0.13     41.598     0.120     0.000    41.478    16939  *ActiveSupport::Notifications::Instrumenter#instrument
  0.13      0.772     0.120     0.000     0.652    24953   ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection_pool
  0.13      0.145     0.119     0.000     0.026    74911  *ActiveRecord::AttributeMethods::PrimaryKey::ClassMethods#primary_key
  0.13     17.117     0.119     0.000    16.998    13423   ActiveSupport::Subscriber#finish
  0.13      0.118     0.118     0.000     0.000    93840   Kernel#block_given?
  0.13      0.118     0.118     0.000     0.000    13397   Float#to_s
  0.13     18.150     0.117     0.000    18.033    16939   ActiveSupport::Notifications::Instrumenter#finish_with_state
  0.12      0.169     0.117     0.000     0.052    26798   Logger::LogDevice#check_shift_log
  0.12      0.116     0.116     0.000     0.000    32425   String#inspect
  0.12      0.442     0.116     0.000     0.326    24956   <Class::ActiveRecord::Base>#connection_handler
  0.12      0.115     0.115     0.000     0.000     6905   Array#zip
  0.12      0.206     0.110     0.000     0.096    26792   ActiveSupport::LogSubscriber#color
  0.12      0.443     0.108     0.000     0.335    36008   ActiveRecord::Base#__callbacks
